,Season,Date,Guests
0,S01E01,2003-09-08,Series Premiere
1,S01E02,2003-09-09,Justin Timberlake
2,S01E03,2003-09-10,Betty White/Sherri Shepherd
3,S01E04,2003-09-11,Megan Mullally
4,S01E05,2003-09-12,Dennis Quaid/Lisa Marie Presley
5,S01E06,2003-09-15,Sean Hayes/Nikki Reed
6,S01E07,2003-09-16,Amanda Bynes/Sharon Stone/Thicke
7,S01E08,2003-09-17,Jennifer Love Hewitt/John C. McGinley
8,S01E09,2003-09-18,Peter Boyle/Eve
9,S01E10,2003-09-19,Terry Bradshaw/Kim Cattrall/Seal
10,S01E11,2003-09-22,Richard Simmons/Rena Sofer
11,S01E12,2003-09-23,David Hyde Pierce/Kimberly Williams-Paisley/Liz Phair
12,S01E13,2003-09-24,Allison Janney/Donnie Wahlberg
13,S01E14,2003-09-25,Jason Biggs/Amber Valletta/Michelle Branch
14,S01E15,2003-09-26,Ben Stiller/Pat Benatar
15,S01E16,2003-09-29,Daryl Hannah/Kate Bosworth
16,S01E17,2003-09-30,Danny DeVito/Faith Ford/Maroon 5
17,S01E18,2003-10-01,Kevin James/Dakota Fanning
18,S01E19,2003-10-02,Noah Wyle/Bob Guiney/Elton John
19,S01E20,2003-10-03,Dwayne “The Rock” Johnson/Brittany Snow
20,S01E21,2003-10-06,Dean Cain/Bonnie Raitt
21,S01E22,2003-10-07,Ted Danson/Loni Anderson
22,S01E23,2003-10-08,Kevin Bacon/Phyllis Diller
23,S01E24,2003-10-09,Bonnie Hunt/Lyle Lovett
24,S01E25,2003-10-10,Jack Black/Wendy Malick/Dido
25,S01E26,2003-10-13,Tom Arnold/Cloris Leachman
26,S01E27,2003-10-14,Patricia Heaton/Carl Reiner
27,S01E28,2003-10-15,Martin Short/Joely Fisher/Shelby Lynne
28,S01E29,2003-10-16,Bradley Whitford/Dennis Haysbert/Eleanor Bravler
29,S01E30,2003-10-17,Dylan McDermott/Teri Polo/Mya
30,S01E31,2003-10-20,David Alan Grier/Joan Cusack
31,S01E32,2003-10-21,Jim Belushi/Mo'nique/Joss Stone
32,S01E33,2003-10-22,Charlie Sheen/Debra Jo Rupp/Anthony Hamilton
33,S01E34,2003-10-23,Katie Holmes/Black Eyed Peas
34,S01E35,2003-10-24,Tim Robbins/Annie Lennox
35,S01E36,2003-10-27,Ellen's Bonus Hour
36,S01E37,2003-10-28,Christina Applegate/Jeff Probst
37,S01E38,2003-10-29,Alicia Silverstone/Anthony Anderson
38,S01E39,2003-10-30,Cuba Gooding Jr./Jane Kaczmarek/R.E.M.
39,S01E40,2003-10-31,Wanda Sykes/Joshua Molina
40,S01E41,2003-11-03,Dr. Phil McGraw/Jason Priestley
41,S01E42,2003-11-04,Kiefer Sutherland/Jane Leeves
42,S01E43,2003-11-05,Jeff Bridges/Doris Roberts
43,S01E44,2003-11-06,Bob Newhart/Clay Aiken
44,S01E45,2003-11-07,Allison Janney/John Ratzenberger/Alexander Gould
45,S01E46,2003-11-10,Kelsey Grammar/Will Ferrell
46,S01E47,2003-11-11,"Kathie Lee Gifford/Benjamin McKenzie/Earth, Wind & Fire"
47,S01E48,2003-11-12,Emma Thompson/George Lopez
48,S01E49,2003-11-13,Steve Harvey/Rod Stewart
49,S01E50,2003-11-14,Holly Hunter/Sarah McLachlan/Jeff Corwin
50,S01E51,2003-11-17,Lauren Graham/Frankie Muniz
51,S01E52,2003-11-18,Brendan Fraser/John Stamos
52,S01E53,2003-11-19,Queen Latifah/Sheryl Crow
53,S01E54,2003-11-20,Eric McCormack/Paul Walker
54,S01E55,2003-11-21,Jenna Elfman/Cyndi Lauper
55,S01E56,2003-11-24,Bernie Mac/Valerie Bertinelli
56,S01E57,2003-11-25,Robert Downey Jr./Mary J. Blige
57,S01E58,2003-11-26,Bette Milder/Bob Guiney
58,S01E59,2003-12-01,Brad Garrett/Emily Procter
59,S01E60,2003-12-02,Ron Howard/Toni Collette
60,S01E61,2003-12-03,Courtney Thorne-Smith/Mark Feuerstein
61,S01E62,2003-12-04,Jessica Lange/Josh Groban
62,S01E63,2003-12-05,Katie Couric/Kelly Clarkson
63,S01E64,2003-12-08,Gwyneth Paltrow/Alicia Keys
64,S01E65,2003-12-09,Anthony Clarke/Sara Gilbert/Pink
65,S01E66,2003-12-10,Tom Cruise/Gloria Estefan
66,S01E67,2003-12-11,Reba McEntire/Melana
67,S01E68,2003-12-12,Diane Keaton/Paul Bettany
68,S01E69,2003-12-15,Sting/Jamie Lee Curtis
69,S01E70,2003-12-16,Shirley MacLaine/Enrique Iglesias
70,S01E71,2003-12-17,Greg Kinnear/Kathy Baker/Nicole Richie
71,S01E72,2003-12-18,Amanda Peet/Mekhi Phifer/Train
72,S01E73,2003-12-19,Uma Thurman/Steve Harris/Al Green
73,S01E74,2004-01-05,Steve Martin/Jon Cryer
74,S01E75,2004-01-06,Elijah Wood/Terry Bradshaw
75,S01E76,2004-01-07,Tracy Morgan/Tia Texada/Pete Yorn
76,S01E77,2004-01-08,Mandy Moore/Michael Imperioli
77,S01E78,2004-01-09,James Spader/Sherri Shepherd
78,S01E79,2004-01-12,Anthony LaPaglia/Cheryl Hines
79,S01E80,2004-01-13,Leah Remini/John Spencer
80,S01E81,2004-01-14,Minnie Driver/Jason Bateman
81,S01E82,2004-01-15,Debra Messing/Burt Bacharach/Ronald Isley
82,S01E83,2004-01-16,Donny Osmond/Meredith Phillips
83,S01E84,2004-01-19,Sean Astin/Breckin Meyer
84,S01E85,2004-01-20,Richard Simmons/Randy Jackson
85,S01E86,2004-01-21,Neve Campbell/Ruben Studdard
86,S01E87,2004-01-22,Merv Griffin/Topher Grace
87,S01E88,2004-01-23,Jessica Capshaw/The Thrills
88,S01E89,2004-01-26,Kim Cattrall/Bobby J. Thompson
89,S01E90,2004-01-27,Betty White/Amy Smart/Gavin DeGraw
90,S01E91,2004-01-28,Burt Reynolds/Nick Gannon
91,S01E92,2004-01-29,Ashton Kutcher/Deidre Hall/Travis
92,S01E93,2004-01-30,Julie Bowen/Fefe Dobson
93,S01E94,2004-02-02,Amy Brenneman and LeAnn Rimes
94,S01E95,2004-02-03,Katey Segal/Chris Harrison/Brian McKnight
95,S01E96,2004-02-04,Seth Green/Tyra Banks
96,S01E97,2004-02-05,Charlize Theron/Brook Shields
97,S01E98,2004-02-06,Diane Lane/Missy Elliot
98,S01E99,2004-02-09,Naomi Watts/Shoshana Johnson/Five For Fighting
99,S01E100,2004-02-10,Sting *100th Episode*
100,S01E101,2004-02-11,Simon Cowell/Annie Lennox/Keisha-Castle Hughes
101,S01E102,2004-02-12,Britney Spears/Tom Cavanagh
102,S01E103,2004-02-13,Ted Danson/Edie Falco/KC & the Sunshine Band
103,S01E104,2004-02-16,Adam Sandler/Drew Barrymore/Rob Schneider
104,S01E105,2004-02-17,Lauren Graham/William Hung/Melissa Etheridge
105,S01E106,2004-02-18,Jane Kaczmarek/Jeff Probst
106,S01E107,2004-02-19,Marg Helgenberger/J.C. Chasez/Kratt brothers
107,S01E108,2004-02-20,Meg Ryan/Jason Lewis/The Indigo Girls
108,S01E109,2004-02-23,Fab Five/Murphy Lee/Jeffrey Tambor
109,S01E110,2004-02-24,Mischa Barton/Jim Belushi/Tom Jones
110,S01E111,2004-02-25,Allison Janney/Liev Schreiber
111,S01E112,2004-02-26,Ray Romano/Dee Dee Davis
112,S01E113,2004-02-27,Donald Trump/Harry Connick Jr.
113,S01E114,2004-03-01,James Caan/Peri Gilpin/Meredith Phillips
114,S01E115,2004-03-02,Robin Williams/Juliette Lewis
115,S01E116,2004-03-03,Prince/Brittany Murphy
116,S01E117,2004-03-08,Gillian Anderson/Donald Faison/Russell Levering
117,S01E118,2004-03-15,Kate Winslet/Marlo Thomas
118,S01E119,2004-03-16,Jason Biggs/Paige Davis
119,S01E120,2004-03-17,Angelina Jolie/Mark Ruffalo
120,S01E121,2004-03-18,Jim Carrey/Jamie-Lynn DiScala
121,S01E122,2004-03-19,Christina Aguilera/Molly Shannon
122,S01E123,2004-03-20,Kirsten Dunst/Steven Weber/Shelby Lynne
123,S01E124,2004-03-23,Sarah Michelle Gellar/Olivier Martinez/Brad Paisley
124,S01E125,2004-03-24,Ben Affleck/Sara Rue
125,S01E126,2004-03-25,Heath Ledger/Camryn Manheim/N.E.R.D.
126,S01E127,2004-03-26,Tom Hanks/Jamie Oliver
127,S01E128,2004-03-29,Roseanne Barr/Chicago/Rachel Dratch
128,S01E129,2004-03-30,Michael Chiklis/Vivica A. Fox
129,S01E130,2004-03-31,Jerry O'Connell/Raquel Castro/Jamie Oliver
130,S01E131,2004-04-01,Penny Marshall/Tori Spelling/Van Hunt
131,S01E132,2004-04-02,Kristin Davis/Esai Morales/Chaka Khan
132,S01E133,2004-04-05,Jamie Foxx/Selma Blair/Adam Mesh
133,S01E134,2004-04-06,The Rock/Jami Gertz
134,S01E135,2004-04-07,David Duchovny/Poppy Montgomery/Sarah Harmer
135,S01E136,2004-04-08,Cedric the Entertainer/Anne Hathaway
136,S01E137,2004-04-09,Jessica Simpson/Henry Winkler/Hugh Dancy
137,S01E138,2004-04-19,Dennis Franz/Elisha Cuthbert
138,S01E139,2004-04-20,Barry Manilow/Nia Vardalos
139,S01E140,2004-04-21,Janet Jackson/David Arquette
140,S01E141,2004-04-22,John Travolta/Goran Visnjic
141,S01E142,2004-04-23,David Bowie/Tina Fey
142,S01E143,2004-04-26,Isabella Rossellini/Debbie Reynolds/Bill Rancic
143,S01E144,2004-04-27,Simon Baker/Cheri Oteri/Liz Phair
144,S01E145,2004-04-28,Christopher Walken/Omar Edwards
145,S01E146,2004-04-29,Jennifer Garner/Jamie Kennedy
146,S01E147,2004-04-30,Rebecca Romijn-Stamos/Dakota Fanning
147,S01E148,2004-05-03,Bill Cosby/Sarah Chalke/Hanson
148,S01E149,2004-05-04,Mary Tyler Moore/Rosie Perez
149,S01E150,2004-05-05,Jay Leno/Lorraine Bracco/Mario Winans/Loon
150,S01E151,2004-05-06,Lindsay Lohan/Kevin Sorbo/Scott Hagwood
151,S01E152,2004-05-07,Hugh Jackman/Al Roker/Mary J. Blige
152,S01E153,2004-05-10,Christina Ricci/Josh Duhamel
153,S01E154,2004-05-11,David Schwimmer/Gabrielle Union
154,S01E155,2004-05-12,Patti LaBelle/Cynthia Nixon
155,S01E156,2004-05-13,Patrick Stewart/Nigella Lawson/Usher
156,S01E157,2004-05-14,Paula Abdul/Wilmer Valderrama
157,S01E158,2004-05-17,David Spade/Vanessa Marcil/La Toya London
158,S01E159,2004-05-18,Simon Cowell/Jorja Fox
159,S01E160,2004-05-19,Dolly Parton/Jon Favreau
160,S01E161,2004-05-20,Glenn Close/Andy Richter/Angie Stone
161,S01E162,2004-05-24,Sean Hayes/Jake Gyllenhaal
162,S01E163,2004-05-25,Antonio Banderas/Alanis Morissette
163,S01E164,2004-05-26,Cameron Diaz/Avril Lavigne
164,S01E165,2004-05-27,Halle Berry/Tom Selleck/Morris Day
165,S01E166,2004-05-28,Kate Hudson/Julian McMahon
166,S02E01,2004-09-06,Noah Wyle/Kelly Clarkson (Season Premiere)
167,S02E02,2004-09-07,Reese Witherspoon/Brandy Norwood
168,S02E03,2004-09-08,Pamela Anderson/Tim McGraw
